ID,Sens_0mM_r1,Sens_0mM_r2,Sens_0mM_r3,Sens_15mM_r1,Sens_15mM_r2,Sens_15mM_r3,Tol_0mM_r1,Tol_0mM_r2,Tol_0mM_r3,Tol_15mM_r1,Tol_15mM_r2,Tol_15mM_r3
ESR56321,9.1095,8.4722,9.0087,9.1673,8.9095,8.6853,2.5146,2.9671,2.9364,3.6763,3.5213,2.5863
ESR37843,3.7904,8.5121,2,2.5892,2,2.5776,3.8365,11.1491,6.1623,2,7.8592,6.5888
ESR59203,8.5039,8.633,7.6122,8.4303,7.662,7.1681,2.5146,2.9671,2.5429,2,2.5535,3.8102
ESR66820,2,7.2059,2,2,2,2,2,10.2237,6.4303,2,5.2353,4.4627
ESR37842,3.5081,8.7243,2.5695,3.8163,3.0167,2.9889,4.5145,11.4042,4.8868,3.069,7.4904,6.0482
ESR56172,6.8412,6.5815,6.9546,7.2601,6.8394,6.7065,2,2,2,2,2,2
ESR59297,3.5081,2,2.5695,2,2,2,6.8508,7.3102,7.0635,7.3212,6.9065,7.3438
ESR40066,8.0877,7.4394,7.5834,7.5821,7.5561,7.1681,2.8931,2,2.5429,4.1023,2.5535,3.3243
ESR37227,6.6065,6.206,6.7097,7.4552,7.8907,6.5022,2,2,2.5429,3.069,2,2.5863
ESR33344,2,3.9973,3.9649,3.0063,3.0167,3.3086,7.5501,7.6627,7.767,7.6077,8.0029,7.6478
ESR59296,4.2292,3.3198,3.2939,4.0094,3.0167,2.9889,8.0191,8.0325,8.1754,8.003,7.5778,8.102
ESR41523,2,2.9982,2,3.0063,2,2,6.6438,8.0534,5.5246,6.1715,6.9065,6.7588
ESR40065,8.7708,8.6899,8.9702,8.9491,9.1929,8.8727,4.6189,4.5297,4.0698,4.2759,4.2452,4.7038
ESR41773,5.7981,6.669,6.2774,6.6559,6.7599,6.5022,2,2,2,2,2,2
ESR64072,3.7904,6.4228,5.4808,4.4697,5.6745,2.9889,6,11.3755,5.5246,5.5149,8.1044,7.379
ESR49476,7.1215,6.3541,6.7876,5.819,6.0312,6.3711,2.5146,2.9671,2.5429,2,2,2
